,Player,Age,Pos,Date,Tm,@,Opp,WL,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB
179,Paul George,26-308,F,3/6/17,IND,@,CHO,L,1,36,15,25,0.6,9,11,0.818,6,14,0.429,0,0,,0,10,10
180,Tim Hardaway,24-352,G,3/3/17,ATL,,CLE,L,0,35,13,20,0.65,8,11,0.727,5,9,0.556,5,6,0.833,1,1,2
181,James Harden,27-108,G,12/12/16,HOU,,BRK,W,1,39,12,27,0.444,8,16,0.5,4,11,0.364,8,12,0.667,3,5,8
182,Gordon Hayward,26-323,F-G,2/9/17,UTA,@,DAL,L,1,43,13,27,0.481,9,17,0.529,4,10,0.4,6,7,0.857,1,3,4
183,LeBron James,32-007,F-G,1/6/17,CLE,@,BRK,W,1,35,14,20,0.7,14,19,0.737,0,1,0,8,10,0.8,0,9,9
184,Terrence Jones,25-014,F,1/23/17,NOP,,CLE,W,1,36,13,18,0.722,10,14,0.714,3,4,0.75,7,10,0.7,3,8,11
185,Kawhi Leonard,25-216,F,1/31/17,SAS,,OKC,W,1,36,13,26,0.5,12,22,0.545,1,4,0.25,9,11,0.818,1,7,8
186,Kawhi Leonard,25-228,F,2/12/17,SAS,@,NYK,L,1,36,13,27,0.481,12,20,0.6,1,7,0.143,9,11,0.818,2,7,9
187,Damian Lillard,26-119,G,11/11/16,POR,,SAC,W,1,42,12,19,0.632,7,9,0.778,5,10,0.5,7,9,0.778,0,1,1
188,Damian Lillard,26-243,G,3/15/17,POR,@,SAS,W,1,34,12,22,0.545,9,14,0.643,3,8,0.375,9,9,1,1,2,3
189,Brook Lopez,28-320,C,2/15/17,BRK,,MIL,L,1,35,12,20,0.6,6,10,0.6,6,10,0.6,6,8,0.75,2,2,4
190,Kyle Lowry,30-273,G,12/23/16,TOR,@,UTA,W,1,33,15,20,0.75,11,12,0.917,4,8,0.5,2,3,0.667,0,4,4
191,C.J. McCollum,25-092,G,12/20/16,POR,@,SAC,L,1,39,13,22,0.591,11,15,0.733,2,7,0.286,8,10,0.8,1,1,2
192,Marcus Morris,27-154,F,2/3/17,DET,,MIN,W,1,38,12,19,0.632,7,10,0.7,5,9,0.556,7,11,0.636,2,3,5
193,Klay Thompson,27-002,G,2/10/17,GSW,@,MEM,W,1,38,13,23,0.565,5,8,0.625,8,15,0.533,2,2,1,0,1,1
194,Karl-Anthony Towns,21-087,F-C,2/10/17,MIN,,NOP,L,1,38,13,22,0.591,12,17,0.706,1,5,0.2,9,9,1,4,4,8
195,John Wall,26-113,G,12/28/16,WAS,,IND,W,1,39,11,19,0.579,9,16,0.563,2,3,0.667,12,13,0.923,2,9,11
196,Russell Westbrook,28-064,G,1/15/17,OKC,@,SAC,W,1,36,11,21,0.524,7,16,0.438,4,5,0.8,10,11,0.909,2,9,11
197,Russell Westbrook,28-013,G,11/25/16,OKC,@,DEN,W,1,41,9,25,0.36,6,21,0.286,3,4,0.75,15,17,0.882,1,10,11
198,Russell Westbrook,27-363,G,11/9/16,OKC,,TOR,L,1,39,9,26,0.346,6,14,0.429,3,12,0.25,15,18,0.833,2,5,7
199,Andrew Wiggins,21-259,F-G,11/8/16,MIN,@,BRK,L,1,41,13,29,0.448,7,22,0.318,6,7,0.857,4,8,0.5,5,3,8
200,Giannis Antetokounmpo,22-025,F-G,12/31/16,MIL,@,CHI,W,1,41,13,19,0.684,12,18,0.667,1,1,1,8,11,0.727,3,6,9
201,Carmelo Anthony,32-191,F,12/6/16,NYK,@,MIA,W,1,36,13,27,0.481,10,18,0.556,3,9,0.333,6,7,0.857,1,2,3
201,Carmelo Anthony,32-191,F,12/6/16,NYK,@,MIA,W,1,36,13,27,0.481,10,18,0.556,3,9,0.333,6,7,0.857,1,2,3
202,Carmelo Anthony,32-205,F,12/20/16,NYK,,IND,W,1,37,13,25,0.52,6,14,0.429,7,11,0.636,2,2,1,0,4,4
202,Carmelo Anthony,32-205,F,12/20/16,NYK,,IND,W,1,37,13,25,0.52,6,14,0.429,7,11,0.636,2,2,1,0,4,4
203,Carmelo Anthony,32-180,F,11/25/16,NYK,,CHO,W,1,41,14,25,0.56,11,19,0.579,3,6,0.5,4,4,1,1,12,13
203,Carmelo Anthony,32-180,F,11/25/16,NYK,,CHO,W,1,41,14,25,0.56,11,19,0.579,3,6,0.5,4,4,1,1,12,13
204,Will Barton,26-069,G,3/16/17,DEN,,LAC,W,0,36,12,18,0.667,5,8,0.625,7,10,0.7,4,5,0.8,2,3,5
204,Will Barton,26-069,G,3/16/17,DEN,,LAC,W,0,36,12,18,0.667,5,8,0.625,7,10,0.7,4,5,0.8,2,3,5
205,Bradley Beal,23-197,G,1/11/17,WAS,@,BOS,L,1,37,13,26,0.5,7,16,0.438,6,10,0.6,3,4,0.75,2,0,2
205,Bradley Beal,23-197,G,1/11/17,WAS,@,BOS,L,1,37,13,26,0.5,7,16,0.438,6,10,0.6,3,4,0.75,2,0,2
206,Eric Bledsoe,26-354,G,11/27/16,PHO,,DEN,L,1,40,10,23,0.435,6,15,0.4,4,8,0.5,11,11,1,0,6,6
206,Eric Bledsoe,26-354,G,11/27/16,PHO,,DEN,L,1,40,10,23,0.435,6,15,0.4,4,8,0.5,11,11,1,0,6,6
207,Jimmy Butler,27-069,G-F,11/22/16,CHI,@,DEN,L,1,39,11,20,0.55,9,16,0.563,2,4,0.5,11,12,0.917,0,7,7
207,Jimmy Butler,27-069,G-F,11/22/16,CHI,@,DEN,L,1,39,11,20,0.55,9,16,0.563,2,4,0.5,11,12,0.917,0,7,7
208,DeMarcus Cousins,26-168,C-F,1/28/17,SAC,@,CHO,W,1,34,13,22,0.591,11,20,0.55,2,2,1,7,9,0.778,7,11,18
208,DeMarcus Cousins,26-168,C-F,1/28/17,SAC,@,CHO,W,1,34,13,22,0.591,11,20,0.55,2,2,1,7,9,0.778,7,11,18
209,Stephen Curry,28-327,G,2/4/17,GSW,@,SAC,L,1,42,11,20,0.55,3,6,0.5,8,14,0.571,5,6,0.833,0,4,4
209,Stephen Curry,28-327,G,2/4/17,GSW,@,SAC,L,1,42,11,20,0.55,3,6,0.5,8,14,0.571,5,6,0.833,0,4,4
210,Stephen Curry,28-346,G,2/23/17,GSW,,LAC,W,1,32,10,16,0.625,4,6,0.667,6,10,0.6,9,10,0.9,1,6,7
210,Stephen Curry,28-346,G,2/23/17,GSW,,LAC,W,1,32,10,16,0.625,4,6,0.667,6,10,0.6,9,10,0.9,1,6,7
211,Stephen Curry,28-296,G,1/4/17,GSW,,POR,W,1,36,12,25,0.48,7,12,0.583,5,13,0.385,6,8,0.75,1,6,7
211,Stephen Curry,28-296,G,1/4/17,GSW,,POR,W,1,36,12,25,0.48,7,12,0.583,5,13,0.385,6,8,0.75,1,6,7
212,Stephen Curry,28-247,G,11/16/16,GSW,@,TOR,W,1,37,10,19,0.526,7,10,0.7,3,9,0.333,12,13,0.923,2,1,3
212,Stephen Curry,28-247,G,11/16/16,GSW,@,TOR,W,1,37,10,19,0.526,7,10,0.7,3,9,0.333,12,13,0.923,2,1,3
213,Anthony Davis,23-235,F-C,11/1/16,NOP,,MIL,L,1,37,9,21,0.429,9,18,0.5,0,3,0,17,18,0.944,3,12,15
213,Anthony Davis,23-235,F-C,11/1/16,NOP,,MIL,L,1,37,9,21,0.429,9,18,0.5,0,3,0,17,18,0.944,3,12,15
214,Anthony Davis,23-279,F-C,12/15/16,NOP,,IND,W,1,39,11,24,0.458,9,21,0.429,2,3,0.667,11,15,0.733,2,14,16
214,Anthony Davis,23-279,F-C,12/15/16,NOP,,IND,W,1,39,11,24,0.458,9,21,0.429,2,3,0.667,11,15,0.733,2,14,16
215,James Harden,27-194,G,3/8/17,HOU,,UTA,L,1,37,10,22,0.455,10,14,0.714,0,8,0,15,16,0.938,0,4,4
215,James Harden,27-194,G,3/8/17,HOU,,UTA,L,1,37,10,22,0.455,10,14,0.714,0,8,0,15,16,0.938,0,4,4
216,Nikola Jokic,21-335,C-F,1/19/17,DEN,@,SAS,L,1,38,14,22,0.636,12,18,0.667,2,4,0.5,5,5,1,4,8,12
216,Nikola Jokic,21-335,C-F,1/19/17,DEN,@,SAS,L,1,38,14,22,0.636,12,18,0.667,2,4,0.5,5,5,1,4,8,12
217,Kawhi Leonard,25-118,F,10/25/16,SAS,@,GSW,W,1,32,10,21,0.476,10,18,0.556,0,3,0,15,15,1,3,2,5
217,Kawhi Leonard,25-118,F,10/25/16,SAS,@,GSW,W,1,32,10,21,0.476,10,18,0.556,0,3,0,15,15,1,3,2,5
218,C.J. McCollum,25-111,G,1/8/17,POR,,DET,L,1,44,16,28,0.571,13,19,0.684,3,9,0.333,0,0,,0,3,3
218,C.J. McCollum,25-111,G,1/8/17,POR,,DET,L,1,44,16,28,0.571,13,19,0.684,3,9,0.333,0,0,,0,3,3
219,C.J. McCollum,25-124,G,1/21/17,POR,@,BOS,W,1,46,11,21,0.524,8,15,0.533,3,6,0.5,10,13,0.769,0,2,2
219,C.J. McCollum,25-124,G,1/21/17,POR,@,BOS,W,1,46,11,21,0.524,8,15,0.533,3,6,0.5,10,13,0.769,0,2,2
220,C.J. McCollum,25-107,G,1/4/17,POR,@,GSW,L,1,38,13,31,0.419,9,20,0.45,4,11,0.364,5,5,1,2,7,9
220,C.J. McCollum,25-107,G,1/4/17,POR,@,GSW,L,1,38,13,31,0.419,9,20,0.45,4,11,0.364,5,5,1,2,7,9
221,Kristaps Porzingis,21-106,F-C,11/16/16,NYK,,DET,W,1,40,13,22,0.591,10,15,0.667,3,7,0.429,6,7,0.857,4,3,7
221,Kristaps Porzingis,21-106,F-C,11/16/16,NYK,,DET,W,1,40,13,22,0.591,10,15,0.667,3,7,0.429,6,7,0.857,4,3,7
222,Isaiah Thomas,27-344,G,1/16/17,BOS,,CHO,W,1,31,14,25,0.56,7,10,0.7,7,15,0.467,0,0,,1,4,5
222,Isaiah Thomas,27-344,G,1/16/17,BOS,,CHO,W,1,31,14,25,0.56,7,10,0.7,7,15,0.467,0,0,,1,4,5
223,Isaiah Thomas,28-026,G,3/5/17,BOS,@,PHO,L,1,32,10,25,0.4,5,13,0.385,5,12,0.417,10,11,0.909,0,2,2
223,Isaiah Thomas,28-026,G,3/5/17,BOS,@,PHO,L,1,32,10,25,0.4,5,13,0.385,5,12,0.417,10,11,0.909,0,2,2
224,Klay Thompson,27-007,G,2/15/17,GSW,,SAC,W,1,31,12,18,0.667,5,6,0.833,7,12,0.583,4,7,0.571,2,3,5
224,Klay Thompson,27-007,G,2/15/17,GSW,,SAC,W,1,31,12,18,0.667,5,6,0.833,7,12,0.583,4,7,0.571,2,3,5
225,Karl-Anthony Towns,21-083,F-C,2/6/17,MIN,,MIA,L,1,38,13,20,0.65,11,17,0.647,2,3,0.667,7,10,0.7,4,4,8
225,Karl-Anthony Towns,21-083,F-C,2/6/17,MIN,,MIA,L,1,38,13,20,0.65,11,17,0.647,2,3,0.667,7,10,0.7,4,4,8
226,Karl-Anthony Towns,21-116,F-C,3/11/17,MIN,@,MIL,L,1,40,14,21,0.667,11,16,0.688,3,5,0.6,4,6,0.667,4,10,14
226,Karl-Anthony Towns,21-116,F-C,3/11/17,MIN,@,MIL,L,1,40,14,21,0.667,11,16,0.688,3,5,0.6,4,6,0.667,4,10,14
227,Dwyane Wade,34-292,G,11/4/16,CHI,,NYK,L,1,33,12,20,0.6,7,13,0.538,5,7,0.714,6,8,0.75,2,8,10
227,Dwyane Wade,34-292,G,11/4/16,CHI,,NYK,L,1,33,12,20,0.6,7,13,0.538,5,7,0.714,6,8,0.75,2,8,10
228,Russell Westbrook,27-356,G,11/2/16,OKC,@,LAC,W,1,33,14,30,0.467,14,23,0.609,0,7,0,7,9,0.778,1,5,6
228,Russell Westbrook,27-356,G,11/2/16,OKC,@,LAC,W,1,33,14,30,0.467,14,23,0.609,0,7,0,7,9,0.778,1,5,6
229,Russell Westbrook,28-018,G,11/30/16,OKC,,WAS,W,1,41,12,35,0.343,11,29,0.379,1,6,0.167,10,10,1,4,10,14
229,Russell Westbrook,28-018,G,11/30/16,OKC,,WAS,W,1,41,12,35,0.343,11,29,0.379,1,6,0.167,10,10,1,4,10,14
230,Andrew Wiggins,21-268,F-G,11/17/16,MIN,,PHI,W,1,38,14,20,0.7,11,14,0.786,3,6,0.5,4,4,1,4,6,10
230,Andrew Wiggins,21-268,F-G,11/17/16,MIN,,PHI,W,1,38,14,20,0.7,11,14,0.786,3,6,0.5,4,4,1,4,6,10
231,Lou Williams,30-043,G,12/9/16,LAL,,PHO,L,0,35,10,19,0.526,4,7,0.571,6,12,0.5,9,11,0.818,0,5,5
231,Lou Williams,30-043,G,12/9/16,LAL,,PHO,L,0,35,10,19,0.526,4,7,0.571,6,12,0.5,9,11,0.818,0,5,5
232,Giannis Antetokounmpo,21-359,F-G,11/29/16,MIL,,CLE,W,1,35,13,19,0.684,12,17,0.706,1,2,0.5,7,10,0.7,1,11,12
232,Giannis Antetokounmpo,21-359,F-G,11/29/16,MIL,,CLE,W,1,35,13,19,0.684,12,17,0.706,1,2,0.5,7,10,0.7,1,11,12
233,Carmelo Anthony,32-235,F,1/19/17,NYK,,WAS,L,1,35,13,27,0.481,10,20,0.5,3,7,0.429,5,7,0.714,1,9,10
233,Carmelo Anthony,32-235,F,1/19/17,NYK,,WAS,L,1,35,13,27,0.481,10,20,0.5,3,7,0.429,5,7,0.714,1,9,10
234,Harrison Barnes,24-160,F,11/6/16,DAL,,MIL,W,1,48,13,26,0.5,11,21,0.524,2,5,0.4,6,7,0.857,3,5,8
234,Harrison Barnes,24-160,F,11/6/16,DAL,,MIL,W,1,48,13,26,0.5,11,21,0.524,2,5,0.4,6,7,0.857,3,5,8
235,Bradley Beal,23-144,G,11/19/16,WAS,,MIA,L,1,40,12,26,0.462,8,15,0.533,4,11,0.364,6,6,1,2,3,5
235,Bradley Beal,23-144,G,11/19/16,WAS,,MIA,L,1,40,12,26,0.462,8,15,0.533,4,11,0.364,6,6,1,2,3,5
236,Stephen Curry,28-257,G,11/26/16,GSW,,MIN,W,1,37,13,19,0.684,9,11,0.818,4,8,0.5,4,4,1,1,7,8
236,Stephen Curry,28-257,G,11/26/16,GSW,,MIN,W,1,37,13,19,0.684,9,11,0.818,4,8,0.5,4,4,1,1,7,8
237,Anthony Davis,23-285,F-C,12/21/16,NOP,,OKC,L,1,36,14,26,0.538,13,24,0.542,1,2,0.5,5,7,0.714,2,12,14
237,Anthony Davis,23-285,F-C,12/21/16,NOP,,OKC,L,1,36,14,26,0.538,13,24,0.542,1,2,0.5,5,7,0.714,2,12,14
238,Anthony Davis,23-246,F-C,11/12/16,NOP,,LAL,L,1,35,13,26,0.5,13,24,0.542,0,2,0,8,11,0.727,1,7,8
238,Anthony Davis,23-246,F-C,11/12/16,NOP,,LAL,L,1,35,13,26,0.5,13,24,0.542,0,2,0,8,11,0.727,1,7,8
239,Anthony Davis,23-332,F-C,2/6/17,NOP,,PHO,W,1,40,12,21,0.571,11,19,0.579,1,2,0.5,9,11,0.818,2,7,9
239,Anthony Davis,23-332,F-C,2/6/17,NOP,,PHO,W,1,40,12,21,0.571,11,19,0.579,1,2,0.5,9,11,0.818,2,7,9
240,Anthony Davis,23-242,F-C,11/8/16,NOP,@,SAC,L,1,37,14,22,0.636,14,20,0.7,0,2,0,6,7,0.857,1,7,8
240,Anthony Davis,23-242,F-C,11/8/16,NOP,@,SAC,L,1,37,14,22,0.636,14,20,0.7,0,2,0,6,7,0.857,1,7,8
241,DeMar DeRozan,27-101,G,11/16/16,TOR,,GSW,L,1,38,8,18,0.444,7,14,0.5,1,4,0.25,17,17,1,1,5,6
241,DeMar DeRozan,27-101,G,11/16/16,TOR,,GSW,L,1,38,8,18,0.444,7,14,0.5,1,4,0.25,17,17,1,1,5,6
242,DeMar DeRozan,27-131,G,12/16/16,TOR,,ATL,L,1,37,15,26,0.577,15,26,0.577,0,0,,4,6,0.667,0,5,5
242,DeMar DeRozan,27-131,G,12/16/16,TOR,,ATL,L,1,37,15,26,0.577,15,26,0.577,0,0,,4,6,0.667,0,5,5
243,DeMar DeRozan,27-096,G,11/11/16,TOR,@,CHO,W,1,36,14,26,0.538,14,25,0.56,0,1,0,6,7,0.857,0,3,3
243,DeMar DeRozan,27-096,G,11/11/16,TOR,@,CHO,W,1,36,14,26,0.538,14,25,0.56,0,1,0,6,7,0.857,0,3,3
244,DeMar DeRozan,27-089,G,11/4/16,TOR,,MIA,W,1,37,14,26,0.538,14,24,0.583,0,2,0,6,6,1,1,3,4
244,DeMar DeRozan,27-089,G,11/4/16,TOR,,MIA,W,1,37,14,26,0.538,14,24,0.583,0,2,0,6,6,1,1,3,4
245,Goran Dragic,30-220,G,12/12/16,MIA,,WAS,W,1,31,14,23,0.609,12,18,0.667,2,5,0.4,4,4,1,2,3,5
245,Goran Dragic,30-220,G,12/12/16,MIA,,WAS,W,1,31,14,23,0.609,12,18,0.667,2,5,0.4,4,4,1,2,3,5
246,Kevin Durant,28-135,F-G,2/11/17,GSW,@,OKC,W,1,33,12,21,0.571,9,15,0.6,3,6,0.5,7,7,1,1,8,9
246,Kevin Durant,28-135,F-G,2/11/17,GSW,@,OKC,W,1,33,12,21,0.571,9,15,0.6,3,6,0.5,7,7,1,1,8,9
247,Kevin Durant,28-079,F-G,12/17/16,GSW,,POR,W,1,31,11,13,0.846,7,8,0.875,4,5,0.8,8,10,0.8,1,10,11
247,Kevin Durant,28-079,F-G,12/17/16,GSW,,POR,W,1,31,11,13,0.846,7,8,0.875,4,5,0.8,8,10,0.8,1,10,11
248,Paul George,26-307,F,3/5/17,IND,@,ATL,W,1,38,12,19,0.632,6,10,0.6,6,9,0.667,4,5,0.8,0,5,5
248,Paul George,26-307,F,3/5/17,IND,@,ATL,W,1,38,12,19,0.632,6,10,0.6,6,9,0.667,4,5,0.8,0,5,5
249,Paul George,26-240,F,12/28/16,IND,@,WAS,L,1,37,10,20,0.5,4,10,0.4,6,10,0.6,8,8,1,0,3,3
249,Paul George,26-240,F,12/28/16,IND,@,WAS,L,1,37,10,20,0.5,4,10,0.4,6,10,0.6,8,8,1,0,3,3
250,James Harden,27-061,G,10/26/16,HOU,@,LAL,L,1,37,9,19,0.474,8,12,0.667,1,7,0.143,15,16,0.938,3,4,7
250,James Harden,27-061,G,10/26/16,HOU,@,LAL,L,1,37,9,19,0.474,8,12,0.667,1,7,0.143,15,16,0.938,3,4,7
251,James Harden,27-123,G,12/27/16,HOU,@,DAL,W,1,30,9,16,0.563,5,9,0.556,4,7,0.571,12,12,1,2,3,5
251,James Harden,27-123,G,12/27/16,HOU,@,DAL,W,1,30,9,16,0.563,5,9,0.556,4,7,0.571,12,12,1,2,3,5
252,George Hill,30-303,G,3/3/17,UTA,,BRK,W,1,32,10,12,0.833,7,9,0.778,3,3,1,11,12,0.917,0,2,2
252,George Hill,30-303,G,3/3/17,UTA,,BRK,W,1,32,10,12,0.833,7,9,0.778,3,3,1,11,12,0.917,0,2,2
253,Kyrie Irving,24-339,G,2/25/17,CLE,,CHI,L,1,35,13,25,0.52,11,15,0.733,2,10,0.2,6,7,0.857,0,9,9
253,Kyrie Irving,24-339,G,2/25/17,CLE,,CHI,L,1,35,13,25,0.52,11,15,0.733,2,10,0.2,6,7,0.857,0,9,9
254,LeBron James,31-356,F-G,12/20/16,CLE,@,MIL,W,1,47,12,25,0.48,7,16,0.438,5,9,0.556,5,6,0.833,3,9,12
254,LeBron James,31-356,F-G,12/20/16,CLE,@,MIL,W,1,47,12,25,0.48,7,16,0.438,5,9,0.556,5,6,0.833,3,9,12
255,LeBron James,32-079,F-G,3/19/17,CLE,@,LAL,W,1,38,13,22,0.591,10,14,0.714,3,8,0.375,5,8,0.625,0,6,6
255,LeBron James,32-079,F-G,3/19/17,CLE,@,LAL,W,1,38,13,22,0.591,10,14,0.714,3,8,0.375,5,8,0.625,0,6,6
256,LeBron James,31-341,F-G,12/5/16,CLE,@,TOR,W,1,42,12,26,0.462,10,19,0.526,2,7,0.286,8,9,0.889,3,5,8
256,LeBron James,31-341,F-G,12/5/16,CLE,@,TOR,W,1,42,12,26,0.462,10,19,0.526,2,7,0.286,8,9,0.889,3,5,8
257,Kawhi Leonard,25-204,F,1/19/17,SAS,,DEN,W,1,36,12,22,0.545,10,17,0.588,2,5,0.4,8,8,1,0,5,5
257,Kawhi Leonard,25-204,F,1/19/17,SAS,,DEN,W,1,36,12,22,0.545,10,17,0.588,2,5,0.4,8,8,1,0,5,5
258,Kawhi Leonard,25-248,F,3/4/17,SAS,,MIN,W,1,44,11,25,0.44,10,20,0.5,1,5,0.2,11,12,0.917,1,9,10
258,Kawhi Leonard,25-248,F,3/4/17,SAS,,MIN,W,1,44,11,25,0.44,10,20,0.5,1,5,0.2,11,12,0.917,1,9,10
259,Kawhi Leonard,25-133,F,11/9/16,SAS,,HOU,L,1,39,11,26,0.423,7,20,0.35,4,6,0.667,8,8,1,2,5,7
259,Kawhi Leonard,25-133,F,11/9/16,SAS,,HOU,L,1,39,11,26,0.423,7,20,0.35,4,6,0.667,8,8,1,2,5,7
260,Kawhi Leonard,25-202,F,1/17/17,SAS,,MIN,W,1,39,12,17,0.706,10,14,0.714,2,3,0.667,8,9,0.889,1,6,7
260,Kawhi Leonard,25-202,F,1/17/17,SAS,,MIN,W,1,39,12,17,0.706,10,14,0.714,2,3,0.667,8,9,0.889,1,6,7
261,Kawhi Leonard,25-259,F,3/15/17,SAS,,POR,L,1,37,12,21,0.571,8,14,0.571,4,7,0.571,6,7,0.857,0,9,9
261,Kawhi Leonard,25-259,F,3/15/17,SAS,,POR,L,1,37,12,21,0.571,8,14,0.571,4,7,0.571,6,7,0.857,0,9,9
262,Damian Lillard,26-228,G,2/28/17,POR,@,DET,L,1,41,13,25,0.52,10,17,0.588,3,8,0.375,5,6,0.833,1,10,11
262,Damian Lillard,26-228,G,2/28/17,POR,@,DET,L,1,41,13,25,0.52,10,17,0.588,3,8,0.375,5,6,0.833,1,10,11
263,Damian Lillard,26-182,G,1/13/17,POR,,ORL,L,1,37,12,26,0.462,10,15,0.667,2,11,0.182,8,9,0.889,1,7,8
263,Damian Lillard,26-182,G,1/13/17,POR,,ORL,L,1,37,12,26,0.462,10,15,0.667,2,11,0.182,8,9,0.889,1,7,8
264,Brook Lopez,28-215,C,11/2/16,BRK,,DET,W,1,29,12,21,0.571,8,13,0.615,4,8,0.5,6,9,0.667,2,9,11
264,Brook Lopez,28-215,C,11/2/16,BRK,,DET,W,1,29,12,21,0.571,8,13,0.615,4,8,0.5,6,9,0.667,2,9,11
265,Kyle Lowry,30-259,G,12/9/16,TOR,@,BOS,W,1,36,9,18,0.5,5,10,0.5,4,8,0.5,12,13,0.923,1,6,7
265,Kyle Lowry,30-259,G,12/9/16,TOR,@,BOS,W,1,36,9,18,0.5,5,10,0.5,4,8,0.5,12,13,0.923,1,6,7
266,C.J. McCollum,25-082,G,12/10/16,POR,@,IND,L,1,37,12,22,0.545,5,11,0.455,7,11,0.636,3,3,1,1,3,4
266,C.J. McCollum,25-082,G,12/10/16,POR,@,IND,L,1,37,12,22,0.545,5,11,0.455,7,11,0.636,3,3,1,1,3,4
267,C.J. McCollum,25-173,G,3/11/17,POR,,WAS,L,1,42,13,23,0.565,8,14,0.571,5,9,0.556,3,3,1,0,0,0
267,C.J. McCollum,25-173,G,3/11/17,POR,,WAS,L,1,42,13,23,0.565,8,14,0.571,5,9,0.556,3,3,1,0,0,0
268,Otto Porter,23-159,F,11/9/16,WAS,,BOS,W,1,38,14,19,0.737,11,14,0.786,3,5,0.6,3,3,1,7,7,14
268,Otto Porter,23-159,F,11/9/16,WAS,,BOS,W,1,38,14,19,0.737,11,14,0.786,3,5,0.6,3,3,1,7,7,14
269,Kristaps Porzingis,21-133,F-C,12/13/16,NYK,@,PHO,L,1,42,12,23,0.522,8,19,0.421,4,4,1,6,7,0.857,1,7,8
269,Kristaps Porzingis,21-133,F-C,12/13/16,NYK,@,PHO,L,1,42,12,23,0.522,8,19,0.421,4,4,1,6,7,0.857,1,7,8
270,Isaiah Thomas,27-320,G,12/23/16,BOS,,OKC,L,1,34,12,22,0.545,10,14,0.714,2,8,0.25,8,9,0.889,0,2,2
270,Isaiah Thomas,27-320,G,12/23/16,BOS,,OKC,L,1,34,12,22,0.545,10,14,0.714,2,8,0.25,8,9,0.889,0,2,2
271,Isaiah Thomas,28-002,G,2/9/17,BOS,@,POR,W,1,38,11,26,0.423,9,15,0.6,2,11,0.182,10,11,0.909,0,1,1
271,Isaiah Thomas,28-002,G,2/9/17,BOS,@,POR,W,1,38,11,26,0.423,9,15,0.6,2,11,0.182,10,11,0.909,0,1,1
272,Klay Thompson,27-040,G,3/20/17,GSW,@,OKC,W,1,32,12,21,0.571,5,6,0.833,7,15,0.467,3,3,1,1,5,6
272,Klay Thompson,27-040,G,3/20/17,GSW,@,OKC,W,1,32,12,21,0.571,5,6,0.833,7,15,0.467,3,3,1,1,5,6
273,Karl-Anthony Towns,21-055,F-C,1/9/17,MIN,,DAL,W,1,37,15,19,0.789,13,16,0.813,2,3,0.667,2,2,1,1,10,11
273,Karl-Anthony Towns,21-055,F-C,1/9/17,MIN,,DAL,W,1,37,15,19,0.789,13,16,0.813,2,3,0.667,2,2,1,1,10,11
274,Dwyane Wade,34-323,G,12/5/16,CHI,,POR,L,1,36,11,23,0.478,10,20,0.5,1,3,0.333,11,13,0.846,2,2,4
274,Dwyane Wade,34-323,G,12/5/16,CHI,,POR,L,1,36,11,23,0.478,10,20,0.5,1,3,0.333,11,13,0.846,2,2,4
275,Kemba Walker,26-239,G,1/2/17,CHO,@,CHI,L,1,38,13,20,0.65,7,12,0.583,6,8,0.75,2,2,1,0,9,9
275,Kemba Walker,26-239,G,1/2/17,CHO,@,CHI,L,1,38,13,20,0.65,7,12,0.583,6,8,0.75,2,2,1,0,9,9
276,Kemba Walker,26-294,G,2/26/17,CHO,@,LAC,L,1,43,11,19,0.579,5,9,0.556,6,10,0.6,6,8,0.75,0,2,2
276,Kemba Walker,26-294,G,2/26/17,CHO,@,LAC,L,1,43,11,19,0.579,5,9,0.556,6,10,0.6,6,8,0.75,0,2,2
277,Kemba Walker,26-291,G,2/23/17,CHO,@,DET,L,1,42,11,19,0.579,8,13,0.615,3,6,0.5,9,9,1,1,6,7
277,Kemba Walker,26-291,G,2/23/17,CHO,@,DET,L,1,42,11,19,0.579,8,13,0.615,3,6,0.5,9,9,1,1,6,7
278,John Wall,26-074,G,11/19/16,WAS,,MIA,L,1,37,12,23,0.522,7,17,0.412,5,6,0.833,5,8,0.625,1,2,3
278,John Wall,26-074,G,11/19/16,WAS,,MIA,L,1,37,12,23,0.522,7,17,0.412,5,6,0.833,5,8,0.625,1,2,3
279,Russell Westbrook,28-010,G,11/22/16,OKC,@,LAL,L,1,36,13,30,0.433,9,21,0.429,4,9,0.444,4,5,0.8,3,5,8
279,Russell Westbrook,28-010,G,11/22/16,OKC,@,LAL,L,1,36,13,30,0.433,9,21,0.429,4,9,0.444,4,5,0.8,3,5,8
280,LaMarcus Aldridge,31-159,F-C,12/25/16,SAS,,CHI,W,1,38,15,20,0.75,15,20,0.75,0,0,,3,6,0.5,3,6,9
280,LaMarcus Aldridge,31-159,F-C,12/25/16,SAS,,CHI,W,1,38,15,20,0.75,15,20,0.75,0,0,,3,6,0.5,3,6,9
281,Giannis Antetokounmpo,22-080,F-G,2/24/17,MIL,,UTA,L,1,34,10,16,0.625,8,12,0.667,2,4,0.5,11,15,0.733,4,8,12
281,Giannis Antetokounmpo,22-080,F-G,2/24/17,MIL,,UTA,L,1,34,10,16,0.625,8,12,0.667,2,4,0.5,11,15,0.733,4,8,12
