,PLAYER,POS,DATE,MP,PTS,GMSC
1139,Al-Farouq Aminu,SF,3/18/16,29,7,7.9
1365,Al-Farouq Aminu,SF,3/26/16,35,20,17.8
1557,Al-Farouq Aminu,SF,2/25/16,29,13,9.2
1878,Al-Farouq Aminu,SF,2/6/16,30,11,8.7
2111,Al-Farouq Aminu,SF,4/13/16,19,10,7.1
2260,Al-Farouq Aminu,SF,3/14/16,23,11,7.4
2527,Al-Farouq Aminu,SF,4/9/16,32,10,3.1
2708,Al-Farouq Aminu,SF,3/12/16,23,11,12.2
2789,Al-Farouq Aminu,SF,3/24/16,20,6,6.4
3061,Al-Farouq Aminu,SF,2/10/16,25,11,8.9
3149,Al-Farouq Aminu,SF,1/10/16,35,16,12.8
3285,Al-Farouq Aminu,SF,4/6/16,37,27,26.3
3444,Al-Farouq Aminu,SF,1/26/16,24,7,2.4
3480,Al-Farouq Aminu,SF,1/8/16,20,8,8.4
3593,Al-Farouq Aminu,SF,3/23/16,36,10,7.7
3639,Al-Farouq Aminu,SF,3/20/16,35,12,8.8
3978,Al-Farouq Aminu,SF,3/31/16,36,28,23.8
4075,Al-Farouq Aminu,SF,3/8/16,28,5,2.6
4821,Al-Farouq Aminu,SF,2/23/16,28,10,8.9
5609,Al-Farouq Aminu,SF,1/20/16,31,12,11.1
5960,Al-Farouq Aminu,SF,12/14/15,28,10,8.8
6668,Al-Farouq Aminu,SF,2/27/16,21,2,2.2
6867,Al-Farouq Aminu,SF,12/11/15,30,13,13.7
7030,Al-Farouq Aminu,SF,11/20/15,35,10,10
7050,Al-Farouq Aminu,SF,11/18/15,37,16,9.6
7300,Al-Farouq Aminu,SF,3/1/16,21,4,1.7
7633,Al-Farouq Aminu,SF,4/2/16,25,8,7
8006,Al-Farouq Aminu,SF,1/23/16,21,5,4.9
8095,Al-Farouq Aminu,SF,12/27/15,23,5,-2.1
8583,Al-Farouq Aminu,SF,1/31/16,31,6,6.8
8665,Al-Farouq Aminu,SF,1/18/16,25,8,3.9
8981,Al-Farouq Aminu,SF,2/28/16,30,10,11.1
9522,Al-Farouq Aminu,SF,3/6/16,32,16,9
9553,Al-Farouq Aminu,SF,3/4/16,17,4,-0.3
9882,Al-Farouq Aminu,SF,12/16/15,21,5,2.7
10334,Al-Farouq Aminu,SF,1/29/16,32,17,16.6
10453,Al-Farouq Aminu,SF,1/16/16,25,2,0.7
11373,Al-Farouq Aminu,SF,11/9/15,34,12,5.7
11394,Al-Farouq Aminu,SF,10/28/15,31,9,7.1
11665,Al-Farouq Aminu,SF,2/4/16,32,7,4.8
12233,Al-Farouq Aminu,SF,2/2/16,31,16,9.5
12321,Al-Farouq Aminu,SF,1/6/16,26,9,3.3
12427,Al-Farouq Aminu,SF,11/30/15,34,7,-2.4
12475,Al-Farouq Aminu,SF,11/15/15,22,7,5.6
12913,Al-Farouq Aminu,SF,1/15/16,31,10,8.2
13135,Al-Farouq Aminu,SF,11/11/15,33,11,8.1
13616,Al-Farouq Aminu,SF,12/5/15,27,16,13.5
13639,Al-Farouq Aminu,SF,11/22/15,32,10,7.1
13725,Al-Farouq Aminu,SF,10/30/15,32,16,8.9
13837,Al-Farouq Aminu,SF,3/17/16,27,8,5.9
14296,Al-Farouq Aminu,SF,11/2/15,32,17,14.3
14315,Al-Farouq Aminu,SF,10/31/15,34,16,11
14542,Al-Farouq Aminu,SF,1/3/16,22,14,10.4
15312,Al-Farouq Aminu,SF,12/23/15,22,10,6.2
16003,Al-Farouq Aminu,SF,12/3/15,32,13,13
16983,Al-Farouq Aminu,SF,12/30/15,33,14,11.3
17170,Al-Farouq Aminu,SF,11/28/15,28,5,5.4
17198,Al-Farouq Aminu,SF,11/24/15,22,5,0.7
