GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,37,15,25,13,18,2,7,5,7,1,5,6,2,0,1,3,4,37,24.4
1,41,12,22,9,16,3,6,10,10,2,10,12,1,1,1,1,1,37,31.8
1,39,12,21,8,14,4,7,9,9,2,5,7,2,4,1,1,2,37,34.3
1,41,11,21,5,10,6,11,9,9,0,3,3,8,1,0,3,3,37,30
1,42,11,26,6,13,5,13,10,13,1,4,5,2,3,1,5,3,37,22.8
1,38,11,23,10,20,1,3,14,14,2,6,8,9,3,0,2,2,37,35
1,37,10,22,7,17,3,5,14,16,3,13,16,2,1,0,3,3,37,29
1,37,13,25,7,11,6,14,5,6,0,5,5,4,2,0,2,3,37,27.4
1,39,11,22,8,15,3,7,12,14,1,1,2,5,3,0,5,3,37,26.5
1,43,14,32,14,31,0,1,9,11,5,10,15,2,2,4,3,3,37,27.9
1,37,13,25,12,22,1,3,10,13,3,5,8,2,2,0,2,1,37,28.1
1,36,14,26,12,21,2,5,7,12,3,9,12,6,2,0,7,3,37,25.2
1,36,13,29,10,19,3,10,8,10,0,3,3,7,2,0,1,3,37,26.7
1,60,13,29,10,21,3,8,8,10,8,11,19,7,1,0,3,4,37,31.3
1,43,13,27,9,17,4,10,6,7,1,3,4,3,1,0,1,2,36,24.8
0,34,15,21,12,18,3,3,3,6,1,4,5,0,1,0,4,3,36,23.8
1,39,14,22,13,18,1,4,7,7,2,8,10,6,1,2,3,3,36,32.4
1,36,13,27,12,20,1,7,9,11,2,7,9,4,4,0,3,3,36,27.6
1,40,14,27,13,22,1,5,7,9,1,7,8,3,2,0,3,2,36,25
1,38,13,21,6,9,7,12,3,3,0,3,3,6,4,0,1,1,36,34.2
1,35,12,20,10,15,2,5,10,10,1,4,5,2,0,0,1,2,36,28.3
1,36,13,18,10,14,3,4,7,10,3,8,11,1,2,3,1,1,36,35.3
1,44,14,28,9,21,5,7,3,5,3,1,4,2,1,1,2,6,36,22.3
1,39,13,21,13,21,0,0,10,10,0,6,6,5,0,1,6,4,36,24.9
1,38,13,23,5,8,8,15,2,2,0,1,1,3,0,0,1,5,36,24.5
1,38,13,22,12,17,1,5,9,9,4,4,8,1,0,0,4,5,36,24.5
1,34,12,22,9,14,3,8,9,9,1,2,3,4,2,0,2,0,36,29.5
1,34,13,24,9,18,4,6,6,9,2,7,9,2,0,0,2,3,36,24.9
0,35,13,20,8,11,5,9,5,6,1,1,2,2,0,0,1,0,36,28.2
1,41,9,25,6,21,3,4,15,17,1,10,11,17,0,1,7,3,36,29.4
1,43,10,23,10,22,0,1,16,17,1,7,8,2,2,1,2,3,36,27.2
1,43,9,31,5,21,4,10,14,16,5,8,13,4,1,3,2,0,36,26.9
1,35,14,20,14,19,0,1,8,10,0,9,9,6,3,0,5,2,36,30.9
1,36,15,25,9,11,6,14,0,0,0,10,10,5,0,0,6,4,36,23.4
1,42,12,19,7,9,5,10,7,9,0,1,1,7,0,0,5,1,36,26.5
1,39,9,26,6,14,3,12,15,18,2,5,7,7,1,2,8,2,36,21.6
1,39,13,22,11,15,2,7,8,10,1,1,2,4,0,1,2,3,36,26.3
1,39,12,27,8,16,4,11,8,12,3,5,8,11,2,0,4,3,36,28.4
1,42,10,24,10,23,0,1,16,21,3,4,7,11,3,0,0,1,36,34.8
1,33,15,20,11,12,4,8,2,3,0,4,4,5,2,0,4,2,36,29.5
1,43,13,23,8,13,5,10,5,7,2,9,11,4,2,1,5,3,36,27.7
1,37,13,28,13,28,0,0,10,10,2,9,11,6,1,0,3,2,36,27.1
1,39,14,23,14,23,0,0,8,10,3,11,14,2,1,3,3,3,36,30.4
1,38,14,21,13,20,1,1,7,9,3,13,16,2,0,2,3,0,36,31.9
1,41,13,29,7,22,6,7,4,8,5,3,8,2,1,0,4,2,36,21.3
1,36,13,21,12,20,1,1,9,14,0,2,2,3,0,0,2,3,36,24
1,40,12,15,8,8,4,7,8,9,2,6,8,5,1,0,2,5,36,33.6
1,41,12,23,11,21,1,2,11,14,1,16,17,3,3,3,1,1,36,34.8
1,36,11,21,7,16,4,5,10,11,2,9,11,10,4,0,7,1,36,33
1,40,15,25,14,23,1,2,5,6,2,15,17,3,3,2,6,2,36,29.7
1,40,12,22,12,21,0,1,12,14,3,10,13,3,1,1,2,3,36,30.3
1,35,14,28,11,23,3,5,5,6,2,11,13,2,0,0,2,3,36,24.5
